iter	Logloss
0	0.6873220436
1	0.6813644655
2	0.6748866819
3	0.6691808499
4	0.6634917642
5	0.6574822932
6	0.6518738173
7	0.6471475699
8	0.6423686004
9	0.6374757485
10	0.6321814939
11	0.6271345545
12	0.6221223351
13	0.6171950881
14	0.6129635924
15	0.6082202218
16	0.603657026
17	0.6010668688
18	0.5966670086
19	0.5930015437
20	0.5887023562
21	0.5848435315
22	0.5811724868
23	0.577312841
24	0.573322976
25	0.5693302482
26	0.5655346185
27	0.5631006817
28	0.560076597
29	0.5568731339
30	0.5533437043
31	0.5497212069
32	0.5461700195
33	0.5427214214
34	0.5398075918
35	0.5366656754
36	0.5335333711
37	0.5306261031
38	0.5289954125
39	0.5262365157
40	0.5237723058
41	0.5207375823
42	0.5176606781
43	0.5147099845
44	0.5122107343
45	0.5099077433
46	0.5071021978
47	0.5046485066
48	0.5026817596
49	0.5004626695
50	0.4980576119
51	0.4958638562
52	0.4936218134
53	0.4914761518
54	0.4895190503
55	0.4873422781
56	0.4852391092
57	0.4835621243
58	0.4816439138
59	0.4800042054
60	0.4782520217
61	0.476330416
62	0.4744707163
63	0.4723175525
64	0.4705261134
65	0.4688308434
66	0.4667744793
67	0.4654323964
68	0.4633696706
69	0.4617470475
70	0.4599823045
71	0.4585037246
72	0.4571242982
73	0.4556515512
74	0.4539844615
75	0.4532691165
76	0.4518609238
77	0.4501526986
78	0.4485200202
79	0.4471151753
80	0.4460413301
81	0.4443695378
82	0.4429375318
83	0.4418162807
84	0.4403616408
85	0.4391067739
86	0.4380385051
87	0.4366471074
88	0.435340247
89	0.434015381
90	0.4325663457
91	0.4312301136
92	0.4302645957
93	0.4291032445
94	0.4286295142
95	0.4273006046
96	0.4263240337
97	0.4251163222
98	0.4242032297
99	0.4233257632
100	0.4223555058
101	0.4211602728
102	0.4204850206
103	0.4195050143
104	0.4184695279
105	0.4175682249
106	0.4162866661
107	0.4157017445
108	0.4147065395
109	0.4139110051
110	0.4130395095
111	0.4121692929
112	0.4115623182
113	0.41099661
114	0.4100526294
115	0.4091357085
116	0.4084419177
117	0.4078424368
118	0.4069989834
119	0.4059986327
120	0.4053085869
121	0.4045926451
122	0.403837139
123	0.4031675197
124	0.4023473684
125	0.4019326669
126	0.4013311368
127	0.4005854947
128	0.4001999721
129	0.3996896812
130	0.3991859696
131	0.3987134711
132	0.3983124801
133	0.3974244418
134	0.3967783028
135	0.3961416607
136	0.3959382869
137	0.3955279236
138	0.3950479272
139	0.3944124652
140	0.3936721244
141	0.3931282559
142	0.3923980875
143	0.391754869
144	0.3910492001
145	0.3905249416
146	0.3898678992
147	0.3892521217
148	0.388865518
149	0.3881931581
150	0.3875791971
151	0.3870167459
152	0.3864326053
153	0.3862631975
154	0.3855750959
155	0.3852165859
156	0.384274209
157	0.3835636577
158	0.3830196415
159	0.3825781265
160	0.3824274607
161	0.3819728707
162	0.3814897056
163	0.3809239674
164	0.3803205111
165	0.3798611639
166	0.3793515046
167	0.3789339591
168	0.3787959062
169	0.3783177619
170	0.3777438263
171	0.3774419932
172	0.3770770992
173	0.3766305112
174	0.3761843657
175	0.3758984972
176	0.3754630133
177	0.3750193915
178	0.3747249644
179	0.3742125799
180	0.3740429555
181	0.3735869664
182	0.3730257289
183	0.3727772846
184	0.3725227952
185	0.3720643484
186	0.3717181271
187	0.3714441218
188	0.3708939721
189	0.3705943185
190	0.3704759221
191	0.3700907332
192	0.3697821799
193	0.369538113
194	0.3690144222
195	0.3687078669
196	0.3684226411
197	0.3680573339
198	0.3676827781
199	0.3673800309
200	0.3669554241
201	0.3665248374
202	0.3664918754
203	0.3661202059
204	0.3658257605
205	0.3653888223
206	0.3649943195
207	0.3647873497
208	0.3645165655
209	0.3641424068
210	0.3637758358
211	0.3633246583
212	0.362888645
213	0.3625809355
214	0.362524963
215	0.3624039043
216	0.3621483753
217	0.3614876173
218	0.3611999425
219	0.3609497479
220	0.3606121811
221	0.3602568376
222	0.3599302528
223	0.3597612383
224	0.3594442586
225	0.3590744431
226	0.3588242353
227	0.3586345763
228	0.3583312283
229	0.3582357374
230	0.3579952718
231	0.3576981285
232	0.3575097243
233	0.3572413149
234	0.3570110648
235	0.3565612527
236	0.3563013665
237	0.3560652717
238	0.3555925848
239	0.3554513628
240	0.3552268748
241	0.3551047408
242	0.3546284341
243	0.3542305658
244	0.3538808501
245	0.3538287271
246	0.3536527485
247	0.3533889506
248	0.3532329683
249	0.3530408304
250	0.3527073696
251	0.3523170209
252	0.3522954515
253	0.3520386172
254	0.351811977
255	0.351521593
256	0.3510079058
257	0.3507227662
258	0.3504307363
259	0.3501504055
260	0.3499474709
261	0.3496651095
262	0.349491028
263	0.3492803018
264	0.3489628812
265	0.3487331209
266	0.3484465258
267	0.3482386757
268	0.34791044
269	0.347755325
270	0.347435493
271	0.3470468702
272	0.3466396676
273	0.3464275909
274	0.3460884329
275	0.3459475491
276	0.3458833457
277	0.3457365102
278	0.3454383445
279	0.3452038757
280	0.3450246044
281	0.3449143837
282	0.3445683627
283	0.3444167929
284	0.3441641083
285	0.3440375884
286	0.3438170566
287	0.3435692003
288	0.3434579904
289	0.3433027426
290	0.3429734588
291	0.3427242776
292	0.3426201426
293	0.3424075512
294	0.3421931352
295	0.3421036334
296	0.3418284435
297	0.3417076832
298	0.3414151001
299	0.3410920126
300	0.3409681513
301	0.3406469569
302	0.3404477008
303	0.3401663281
304	0.3400688076
305	0.3398011758
306	0.3396190641
307	0.3393338097
308	0.3391771143
309	0.3390331232
310	0.33894523
311	0.3388988003
312	0.3387186208
313	0.3384456684
314	0.3382737216
315	0.3381363155
316	0.3380556126
317	0.3378439568
318	0.3376671158
319	0.3374186556
320	0.3372186033
321	0.3369296859
322	0.3367501034
323	0.3364422889
324	0.336271778
325	0.3360301377
326	0.3358625715
327	0.335770542
328	0.3355707281
329	0.3354287481
330	0.3352961283
331	0.335055747
332	0.3348641144
333	0.3347246812
334	0.3345310529
335	0.3344146482
336	0.3342995263
337	0.3340927033
338	0.3336585186
339	0.3334535662
340	0.333325157
341	0.332715146
342	0.3325681529
343	0.3323459413
344	0.3320962861
345	0.331861636
346	0.3316688855
347	0.3314888898
348	0.3312014942
349	0.331110812
350	0.3309894846
351	0.330911642
352	0.3306656202
353	0.3305185085
354	0.3302258925
355	0.3300207473
356	0.3299112339
357	0.3296459224
358	0.3293939762
359	0.329202241
360	0.3289975445
361	0.3287694395
362	0.3286667186
363	0.3283502326
364	0.3281827176
365	0.3281781622
366	0.3280440085
367	0.3280171855
368	0.3278035191
369	0.3276686802
370	0.3275663352
371	0.3272910165
372	0.3271146376
373	0.3270159312
374	0.3268507938
375	0.3266693897
376	0.3264722899
377	0.326303043
378	0.3261640233
379	0.3258979639
380	0.3257593237
381	0.3256240117
382	0.3254953658
383	0.325359093
384	0.3251471812
385	0.3248323114
386	0.3247147167
387	0.3244890061
388	0.324372148
389	0.3242289191
390	0.3241021453
391	0.3239333139
392	0.3237927732
393	0.3236713787
394	0.323472757
395	0.3233677729
396	0.3233314042
397	0.3231564828
398	0.3230750005
399	0.3229731501
400	0.3228373459
401	0.322679254
402	0.3225698259
403	0.3223354664
404	0.3222205357
405	0.3219462432
406	0.3217992767
407	0.3216644722
408	0.321483523
409	0.321150064
410	0.321117482
411	0.3210207584
412	0.3208025466
413	0.3205996497
414	0.3204040831
415	0.3201245972
416	0.3199322151
417	0.3197294434
418	0.3195403783
419	0.3193995234
420	0.3193727717
421	0.319237846
422	0.3190348638
423	0.3187929156
424	0.318598739
425	0.3185570428
426	0.3184278135
427	0.3182670825
428	0.3180717085
429	0.3180431702
430	0.3179894114
431	0.3177486481
432	0.317495167
433	0.3173921866
434	0.3173331974
435	0.3172704933
436	0.3172041249
437	0.3170359739
438	0.3168537906
439	0.3166425606
440	0.3165054621
441	0.3162845051
442	0.3161476537
443	0.3161012138
444	0.3159184268
445	0.3158155117
446	0.3156017039
447	0.3154997899
448	0.3153612943
449	0.3151492698
450	0.3149739642
451	0.3149658342
452	0.3148366788
453	0.3146671581
454	0.3145917125
455	0.3144517774
456	0.3142040393
457	0.3142007978
458	0.3140659816
459	0.3138461036
460	0.3138234027
461	0.3138219789
462	0.3135273918
463	0.3134028523
464	0.3133544755
465	0.3132703804
466	0.3131716386
467	0.313037413
468	0.3128777462
469	0.3128038324
470	0.3125746459
471	0.3124994247
472	0.3123487412
473	0.3121065187
474	0.3119793131
475	0.31169293
476	0.3115756791
477	0.3115580212
478	0.3113968992
479	0.311294833
480	0.3110776231
481	0.3109974463
482	0.3108298456
483	0.3107495713
484	0.3106040126
485	0.3103456284
486	0.3102395725
487	0.3101354634
488	0.3100119294
489	0.3097194007
490	0.3095819217
491	0.3094197519
492	0.3091669599
493	0.3090052032
494	0.3089823519
495	0.3089489484
496	0.3089323751
497	0.3087421902
498	0.3084901436
499	0.3084750703
500	0.3083624826
501	0.3082644911
502	0.3081239853
503	0.3079481193
504	0.3079318791
505	0.3078390554
506	0.3078340048
507	0.3076603643
508	0.3074400424
509	0.3073775058
510	0.3073261261
511	0.3072283945
512	0.307059373
513	0.3067262849
514	0.3066398256
515	0.306523858
516	0.306456174
517	0.3064147934
518	0.3061535214
519	0.3059963151
520	0.3059442766
521	0.3057624259
522	0.3056226684
523	0.3054779402
524	0.3053465871
525	0.3051374782
526	0.3049928835
527	0.3048047375
528	0.3046503274
529	0.3045936524
530	0.3045666378
531	0.3044315636
532	0.3042605367
533	0.3040352254
534	0.3038220638
535	0.3036466207
536	0.3035628494
537	0.3033767854
538	0.3032469051
539	0.3032360191
540	0.3031037675
541	0.3030013788
542	0.3029895671
543	0.3029090687
544	0.3027845533
545	0.3027052813
546	0.3026542229
547	0.3025079824
548	0.3023999802
549	0.3023146318
550	0.3022779916
551	0.3018184853
552	0.301681599
553	0.3015241671
554	0.3014656811
555	0.3013991195
556	0.3012984458
557	0.3011719728
558	0.3010145073
559	0.3009790339
560	0.300927826
561	0.3007221312
562	0.3006163978
563	0.3004834756
564	0.3003543138
565	0.3003165795
566	0.3001067951
567	0.3000238479
568	0.3000042722
569	0.2999021918
570	0.2998274102
571	0.2996880858
572	0.2996366425
573	0.2994508895
574	0.2993660489
575	0.2993351815
576	0.299257569
577	0.2992369606
578	0.2991696135
579	0.2989973531
580	0.2988974897
581	0.2988518624
582	0.2986697292
583	0.2985264596
584	0.298498264
585	0.2983450602
586	0.2981418092
587	0.2980964594
588	0.2979931216
589	0.2978728972
590	0.2977576838
591	0.2976918818
592	0.2975021923
593	0.2974163868
594	0.2972703198
595	0.2971786231
596	0.2971690067
597	0.2970565406
598	0.2968857184
599	0.2967369637
600	0.2965417441
601	0.2963999131
602	0.2962330566
603	0.296058874
604	0.2959629155
605	0.2959200295
606	0.2957550423
607	0.2956354088
608	0.2955249934
609	0.2954114794
610	0.2952391213
611	0.2950517811
612	0.2949608376
613	0.2946505896
614	0.294504115
615	0.2943047347
616	0.294210315
617	0.2940532738
618	0.2940116469
619	0.2939158161
620	0.2938912695
621	0.2937541822
622	0.2936704076
623	0.2936147257
624	0.29344288
625	0.2933444634
626	0.2932458262
627	0.2931499678
628	0.2930059719
629	0.2927855378
630	0.2926693372
631	0.292658543
632	0.292616151
633	0.2925990835
634	0.2924117178
635	0.2923382494
636	0.2921661304
637	0.292010765
638	0.291935438
639	0.2916753122
640	0.291573217
641	0.2914320025
642	0.2912458464
643	0.2911515308
644	0.2908406627
645	0.2906744709
646	0.2906173974
647	0.2904391575
648	0.2904120628
649	0.2904019362
650	0.2903495071
651	0.2901990497
652	0.2900639518
653	0.2899420684
654	0.2897231213
655	0.2896042575
656	0.2894908922
657	0.2893164172
658	0.2891197497
